id,state,rto,maker,count,car_brand_match
2205,Andhra Pradesh,Dharamavaram unit office,VE COMMERCIAL VEHICLES LTD,5,
53310,Haryana,SDM KALANWALI,NEW GURDIAL AGRO INDUSTRIES PVT LTD,3,
84859,Kerala,IRITTY SRTO,IDEAL JAWA INDIA PVT LTD,3,
140878,Rajasthan,JODHPUR RTO,EYAMAUTO MOBILITY PVT LTD,3,
188823,Uttar Pradesh,BASTI RTO,TEREX CORPORATION,3,
175505,Telangana,RTA JAYASHANKAR,JAGUAR LAND ROVER LIMITED UK,3,
68110,Karnataka,BENGALURU NORTH  RTO,QUANTUM ENERGY LTD.,3,
131780,Punjab,RTO SANGRUR,SAGGU AGRO INDUSTRIES (REGD),3,
127989,Punjab,RTO FATEHGARH SAHIB,VIKAS AGRO INDUSTRIES,3,
160249,Tamil Nadu,ODDANCHATRAM  UO,ESCORTS LTD,3,
5,Andaman & Nicobar Island,Port Blair DTO,ANDAVAR INDUSTRIES            ,14,
9,Andaman & Nicobar Island,Port Blair DTO,AUTOMOBILE PRODUCTS OF INDIA,13,
13,Andaman & Nicobar Island,Port Blair DTO,BAJAJ TEMPO LIMITED,7,
21,Andaman & Nicobar Island,Port Blair DTO,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,72,
40,Andaman & Nicobar Island,Port Blair DTO,HINDUSTAN MOTOR CORPORATION,3,
45,Andaman & Nicobar Island,Port Blair DTO,HYUNDAI MOTOR INDIA LTD,6466,Hyundai
51,Andaman & Nicobar Island,Port Blair DTO,JAGUAR LAND ROVER INDIA LIMITED,4,
63,Andaman & Nicobar Island,Port Blair DTO,L & T CASE EQUIPMENT PVT LTD,4,
64,Andaman & Nicobar Island,Port Blair DTO,MAC AUTO INDIA,29,
75,Andaman & Nicobar Island,Port Blair DTO,MERCEDES-BENZ INDIA PVT LTD,24,Mercedes-Benz
78,Andaman & Nicobar Island,Port Blair DTO,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,4,
80,Andaman & Nicobar Island,Port Blair DTO,OTHERS,272,
86,Andaman & Nicobar Island,Port Blair DTO,SCOOTERS INDIA LTD,26,
94,Andaman & Nicobar Island,Port Blair DTO,TATA HITACHI MACHINERY CONSTRUCTION LIMITED,11,Tata
96,Andaman & Nicobar Island,Port Blair DTO,TATA MOTORS PASSENGER VEHICLES LTD,1624,Tata
105,Andaman & Nicobar Island,Port Blair DTO,VOLVO CE INDIA PRIVATE LIMITED,8,Volvo
108,Andhra Pradesh,Adoni RTO,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,4,
111,Andhra Pradesh,Adoni RTO,AMPERE VEHICLES PRIVATE LIMITED,17,
112,Andhra Pradesh,Adoni RTO,ASHOK LEYLAND LTD,1223,
113,Andhra Pradesh,Adoni RTO,ATHER ENERGY LTD,181,
120,Andhra Pradesh,Adoni RTO,CAPTAIN TRACTORS PVT. LTD.,8,
124,Andhra Pradesh,Adoni RTO,CLASSIC LEGENDS PVT LTD,40,
126,Andhra Pradesh,Adoni RTO,DAEWOO MOTORS INDIA LTD,10,
127,Andhra Pradesh,Adoni RTO,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,10,
132,Andhra Pradesh,Adoni RTO,ESCORTS CONSTRUCTION EQUIPMENT LTD,313,
136,Andhra Pradesh,Adoni RTO,FORCE MOTORS LIMITED,270,
140,Andhra Pradesh,Adoni RTO,GROMAX AGRI EQUIPMENT LTD,14,
147,Andhra Pradesh,Adoni RTO,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,24,
148,Andhra Pradesh,Adoni RTO,HONDA CARS INDIA LTD,256,Honda
